idx,token,operazione,motivo
330,venne,sub,costruzione passiva (sintattico)
330,tratto,sub,altro
330,in,sub,altro
330,ma,del,altro
330,non,del,altro
330,scontò,del,parola non di base (lessicale)
330,la,del,altro
330,pena,del,altro
339,Pur,del,altro
339,correttamente,del,altro
339,predetto,del,parola non di base (lessicale)
339,la,del,altro
339,vittoria,del,altro
339,centrodestra,del,parola non di base (lessicale)
339,come,del,altro
339,nel,del,altro
339,2006,del,altro
339,gli,del,altro
339,exit,del,parola non di base (lessicale)
339,poll,del,parola non di base (lessicale)
339,(,del,altro
339,-5,del,altro
339,%,del,altro
339,per,del,altro
339,la,del,altro
339,coalizione,del,parola non di base (lessicale)
339,centrodestra,del,parola non di base (lessicale)
339,"+2,5",del,altro
339,%,del,altro
339,per,del,altro
339,quella,del,altro
339,centrosinistra,del,parola non di base (lessicale)
339,),del,altro
356,ripresosi,sub,clausola subordinata/participiale (sintattico)
356,precedente,sub,altro
356,battaglia,sub,altro
356,si,sub,altro
356,recò,sub,altro
356,presso,sub,altro
356,la,sub,altro
356,dove,sub,altro
356,si,sub,altro
356,batté,sub,clausola subordinata/participiale (sintattico)
356,contro,sub,altro
356,Mago,sub,altro
356,Shazam,sub,altro
356,Marvel,del,clausola subordinata/participiale (sintattico)
365,stabilì,sub,altro
365,collegamento,sub,altro
365,tra,sub,altro
365,",",del,altro
365,sul,del,altro
365,versante,del,parola non di base (lessicale)
365,sul,del,altro
365,versante,del,parola non di base (lessicale)
365,galiziano,del,parola non di base (lessicale)
392,gli,sub,altro
392,che,del,altro
392,lo,del,altro
392,portano,del,clausola subordinata/participiale (sintattico)
404,Volpicella,del,altro
404,sono,del,altro
404,state,del,costruzione passiva (sintattico)
404,dedicate,del,altro
404,Istituto,sub,altro
404,studi,sub,altro
404,storici,sub,altro
446,",",del,altro
446,viene,del,costruzione passiva (sintattico)
446,premiata,del,altro
446,con,del,altro
446,3,del,altro
446,Awards,del,altro
446,",",del,altro
446,«,sub,altro
446,»,sub,altro
446,(,sub,altro
446,«,sub,altro
446,Migliore,sub,altro
446,Artista,sub,altro
446,Solista,sub,parola non di base (lessicale)
446,Femminile,sub,altro
446,Internazionale,sub,altro
446,»,sub,altro
446,),sub,altro
446,;,sub,altro
502,",",del,altro
502,professore,del,altro
502,di,del,altro
502,storia,del,altro
502,medievale,del,altro
502,all',del,altro
502,Università,del,altro
502,di,del,altro
502,Heidelberg,del,altro
502,.,del,altro
522,del,del,altro
522,realizzato,del,clausola subordinata/participiale (sintattico)
522,al,del,altro
522,centro,del,altro
522,della,del,altro
522,città,del,altro
522,ricostruita,del,clausola subordinata/participiale (sintattico)
522,in,del,altro
522,una,del,altro
522,posizione,del,altro
522,diversa,del,altro
522,rispetto,del,altro
522,alla,del,altro
522,precedente,del,altro
522,collegiata,del,parola non di base (lessicale)
522,furono,del,costruzione passiva (sintattico)
522,voluti,del,altro
522,dal,del,altro
522,avviati,sub,altro
522,su,sub,altro
522,progetto,sub,altro
522,;,sub,altro
531,fa,sub,altro
531,cosiddetto,del,altro
531,ricadente,del,clausola subordinata/participiale (sintattico)
559,Ad,del,altro
559,oggi,del,altro
559,preso,sub,altro
559,inclusi,sub,clausola subordinata/participiale (sintattico)
575,possono,del,altro
575,spesso,del,altro
575,essere,del,costruzione passiva (sintattico)
575,inclusi,del,altro
575,nella,del,altro
575,sono,del,costruzione passiva (sintattico)
575,tipicamente,del,parola non di base (lessicale)
575,definit,del,parola non di base (lessicale)
575,come,del,altro
575,alleati,del,altro
575,",",del,altro
575,"""",del,altro
575,etero,del,parola non di base (lessicale)
575,-,del,altro
575,ma,del,altro
575,-,del,altro
575,non,del,altro
575,-,del,altro
575,stretti,del,altro
575,",",del,altro
575,Bi,del,altro
575,-,del,altro
575,friendly,del,altro
575,o,del,altro
575,Bi,del,altro
575,-,del,altro
575,inclusive,del,parola non di base (lessicale)
575,in,del,altro
575,quanto,del,altro
575,spesso,del,altro
575,sostengono,del,clausola subordinata/participiale (sintattico)
575,i,del,altro
575,diritti,del,altro
575,politici,del,altro
575,della,del,altro
575,dignità,del,altro
575,sociale,del,altro
575,per,del,altro
575,bisessuali,del,parola non di base (lessicale)
575,pansessuali,del,parola non di base (lessicale)
575,così,del,altro
575,come,del,altro
575,per,del,altro
575,altre,del,altro
575,LGBT,del,altro
585,"""",sub,altro
585,"""",del,altro
585,",",del,altro
585,edito,del,clausola subordinata/participiale (sintattico)
585,da,del,altro
585,Rizzoli,del,altro
585,nel,del,altro
585,2004,del,altro
585,",",del,altro
585,narra,del,altro
585,invece,del,altro
585,quanto,del,altro
585,possa,del,altro
585,innamorarsi,sub,clausola subordinata/participiale (sintattico)
669,in,del,altro
669,quanto,del,altro
669,figli,sub,altro
669,maschi,sub,altro
669,gli,sub,altro
669,erano,sub,altro
669,premorti,sub,clausola subordinata/participiale (sintattico)
669,passò,sub,altro
669,il,sub,altro
669,che,sub,altro
669,dopo,sub,altro
669,fratello,sub,altro
669,regnò,sub,clausola subordinata/participiale (sintattico)
669,da,sub,altro
669,solo,sub,altro
673,permetté,del,parola non di base (lessicale)
687,Il,del,altro
687,quartiere,del,costruzione passiva (sintattico)
687,di,del,altro
687,Conservatória,del,altro
687,",",del,altro
687,città,del,altro
687,",",del,altro
687,considerato,sub,altro
694,specifici,sub,altro
694,orientamenti,sub,altro
694,(,sub,altro
694,),del,altro
701,Per,sub,altro
701,s',sub,altro
701,la,sub,altro
701,giuridica,sub,altro
701,di,sub,altro
701,con,sub,altro
734,Di,del,altro
734,proprietà,del,altro
734,del,del,altro
734,comune,del,altro
734,di,del,altro
734,",",del,altro
734,da,del,altro
734,quando,del,altro
734,la,del,altro
734,dal,sub,altro
735,La,del,altro
735,"""",del,altro
735,Advanced,del,altro
735,processor,del,parola non di base (lessicale)
735,card,del,parola non di base (lessicale)
735,"""",del,altro
735,aveva,del,altro
735,un,del,altro
735,tempo,del,altro
735,di,del,altro
735,clock,del,parola non di base (lessicale)
735,di,del,altro
735,100,del,altro
735,ns,del,altro
735,(,del,altro
735,),del,altro
735,una,del,altro
735,memoria,del,altro
735,di,del,altro
735,interna,sub,altro
735,o,sub,altro
735,una,sub,altro
735,memoria,sub,altro
735,esterna,sub,altro
735,da,sub,altro
735,ECC,sub,altro
735,e,sub,altro
735,una,sub,altro
735,FPU,sub,altro
735,Motorola,sub,altro
735,68881,sub,altro
735,a,sub,altro
735,.,del,altro
742,Ne,sub,altro
742,conseguì,sub,parola non di base (lessicale)
742,una,sub,altro
742,per,sub,altro
742,tutte,sub,altro
742,due,sub,altro
754,Per,sub,altro
754,i,sub,altro
754,fu,sub,altro
754,una,sub,altro
754,sconfitta,sub,altro
754,che,sub,altro
754,provocò,sub,clausola subordinata/participiale (sintattico)
754,grande,sub,altro
754,scoramento,sub,parola non di base (lessicale)
754,;,sub,altro
754,dei,sub,altro
754,quasi,sub,altro
754,attaccanti,sub,altro
754,",",sub,altro
754,;,del,altro
757,Io,del,altro
765,Prima,sub,altro
765,della,sub,altro
765,modernizzazione,sub,parola non di base (lessicale)
765,della,sub,altro
765,Corea,sub,altro
765,non,sub,altro
765,c',sub,altro
765,erano,sub,altro
765,ma,del,altro
765,per,del,altro
765,compiva,del,parola non di base (lessicale)
767,al,sub,altro
767,“,sub,altro
767,”,sub,altro
767,;,sub,altro
768,toponimo,sub,parola non di base (lessicale)
768,Marcon,sub,altro
768,proprio,sub,altro
768,Marco,sub,altro
768,",",sub,altro
768,relativo,sub,altro
768,forse,sub,altro
768,a,sub,altro
778,la,del,altro
778,furono,del,costruzione passiva (sintattico)
778,realizzate,del,altro
778,dal,del,altro
779,Il,sub,altro
779,suo,sub,altro
779,prevedeva,sub,altro
779,l',sub,altro
779,impiego,sub,altro
779,di,sub,altro
779,da,sub,altro
779,varie,sub,altro
783,Per,sub,altro
783,quanto,sub,altro
783,riguarda,sub,clausola subordinata/participiale (sintattico)
783,suddivisione,sub,parola non di base (lessicale)
783,della,sub,altro
783,popolazione,sub,altro
783,in,sub,altro
783,fasce,sub,altro
783,d',sub,altro
783,età,sub,altro
783,",",sub,altro
783,il,sub,altro
783,era,sub,clausola subordinata/participiale (sintattico)
783,di,sub,altro
783,dei,sub,altro
783,",",sub,altro
783,il,sub,altro
783,fra,sub,altro
783,e,sub,altro
783,",",sub,altro
783,il,sub,altro
783,fra,sub,altro
783,e,sub,altro
783,",",sub,altro
783,il,sub,altro
783,fra,sub,altro
783,e,sub,altro
783,",",sub,altro
783,mentre,sub,altro
783,infine,sub,altro
783,il,sub,altro
783,era,del,clausola subordinata/participiale (sintattico)
783,di,del,altro
783,sopra,del,altro
783,dei,del,altro
783,di,del,altro
783,età,del,altro
783,.,del,altro
851,del,del,altro
851,",",sub,altro
851,ATP,sub,altro
851,Tour,sub,altro
851,",",sub,altro
851,ha,sub,altro
851,avuto,sub,altro
851,vincitori,sub,altro
851,che,del,altro
851,hanno,del,altro
851,battuto,del,clausola subordinata/participiale (sintattico)
851,in,del,altro
851,finale,del,altro
851,Jim,del,altro
851,Grabb,del,altro
851,Richey,del,altro
851,Reneberg,del,altro
851,7,del,altro
851,-,del,altro
851,6,del,altro
851,",",del,altro
851,6,del,altro
851,-,del,altro
851,4,del,altro
870,è,sub,altro
870,stata,sub,altro
870,perciò,sub,altro
870,",",del,altro
870,al,del,altro
870,punto,del,altro
870,che,del,altro
870,si,del,altro
870,può,del,altro
870,parlare,del,clausola subordinata/participiale (sintattico)
870,un',del,altro
870,Italia,del,altro
870,letteraria,del,altro
870,in,del,altro
870,contrapposizione,del,parola non di base (lessicale)
870,o,del,altro
870,in,del,altro
870,aggiunta,del,parola non di base (lessicale)
870,all',del,altro
870,Italia,del,altro
870,costruita,del,clausola subordinata/participiale (sintattico)
870,su,del,altro
870,base,del,altro
870,politica,del,altro
870,",",del,altro
870,etnica,del,parola non di base (lessicale)
870,",",del,altro
870,o,del,altro
870,economica,del,altro
874,interpretò,del,altro
874,molti,del,altro
874,protagonista,del,altro
874,imponendosi,del,clausola subordinata/participiale (sintattico)
874,principali,del,altro
874,attrici,del,parola non di base (lessicale)
874,degli,del,altro
874,anni,del,altro
874,venti,del,altro
880,coprì,sub,parola non di base (lessicale)
880,di,sub,altro
880,nuvole,sub,altro
880,il,sub,altro
880,cielo,sub,altro
880,suolo,del,altro
880,inaridì,del,parola non di base (lessicale)
880,in,del,altro
880,un',del,altro
880,area,del,altro
880,molto,del,altro
880,vasta,del,altro
880,",",del,altro
880,ebbero,del,altro
880,forti,del,altro
880,diversi,del,altro
880,in,sub,altro
880,tutto,sub,altro
880,paese,del,altro
881,1999,sub,altro
881,caratterizzata,sub,clausola subordinata/participiale (sintattico)
881,da,sub,altro
881,pari,sub,altro
881,a,sub,altro
881,da,sub,altro
881,inclinata,del,clausola subordinata/participiale (sintattico)
883,terrestri,sub,parola non di base (lessicale)
883,vennero,sub,costruzione passiva (sintattico)
883,tuttavia,del,altro
883,truppe,del,altro
883,parteciparono,del,altro
883,a,del,altro
883,una,del,altro
883,serie,del,altro
883,di,del,altro
883,azioni,del,altro
883,militari,del,altro
883,gli,del,altro
883,alleati,del,altro
883,del,del,altro
883,Canada,del,altro
914,“,sub,altro
914,Non,sub,altro
914,ho,sub,altro
914,mai,sub,altro
914,scordato,sub,altro
914,niente,sub,altro
914,–,sub,altro
914,non,sub,altro
914,non,sub,altro
914,non,sub,altro
914,”,sub,altro
914,.,sub,altro
922,",",del,altro
922,censura,del,parola non di base (lessicale)
922,era,del,altro
922,all',del,altro
922,epoca,del,altro
922,una,del,altro
922,funzione,del,altro
922,amministrativa,del,altro
922,legittima,del,altro
922,come,del,altro
922,gestione,del,altro
922,della,del,altro
922,",",del,altro
922,avvertì,del,parola non di base (lessicale)
922,il,del,altro
922,bisogno,del,altro
922,controllare,del,clausola subordinata/participiale (sintattico)
922,autorizzare,del,altro
922,libera,del,altro
922,circolazione,del,altro
922,delle,del,altro
937,Si,del,altro
937,interessata,sub,altro
937,alla,sub,altro
938,vi,sub,altro
938,architettura,del,altro
938,popolare,del,altro
938,in,del,altro
938,",",sub,altro
939,",",del,altro
939,sia,del,altro
939,che,del,altro
939,presa,del,altro
939,con,del,altro
939,fune,del,altro
939,ricaddero,del,parola non di base (lessicale)
942,continuarono,sub,altro
942,ad,sub,altro
942,esistere,sub,clausola subordinata/participiale (sintattico)
942,",",sub,altro
942,pur,sub,altro
942,con,sub,altro
942,quale,sub,altro
942,limitazione,sub,parola non di base (lessicale)
942,",",sub,altro
942,rimasero,sub,parola non di base (lessicale)
942,in,sub,altro
942,vita,sub,altro
942,prima,sub,altro
942,metà,sub,altro
942,quando,sub,altro
942,in,sub,altro
942,Spagna,sub,altro
942,fu,sub,costruzione passiva (sintattico)
942,abolito,sub,clausola subordinata/participiale (sintattico)
942,legalmente,sub,parola non di base (lessicale)
942,il,sub,altro
942,sistema,sub,costruzione passiva (sintattico)
942,feudale,sub,parola non di base (lessicale)
942,istituto,sub,altro
942,della,sub,altro
942,"""",sub,altro
942,manomorta,sub,parola non di base (lessicale)
942,"""",sub,altro
945,questi,sub,altro
945,si,del,altro
945,imbatterono,del,parola non di base (lessicale)
945,in,del,altro
945,tra,del,altro
945,orcheski,del,parola non di base (lessicale)
945,",",del,altro
945,dove,del,altro
945,i,del,altro
945,primi,del,altro
945,stavano,del,altro
945,lentamente,del,altro
945,schiacciando,del,clausola subordinata/participiale (sintattico)
945,i,del,altro
945,secondi,del,altro
946,In,sub,altro
946,alcuni,sub,altro
946,ambiti,sub,altro
946,tuttavia,sub,altro
990,sono,sub,altro
990,stati,sub,costruzione passiva (sintattico)
990,disapprovati,sub,parola non di base (lessicale)
990,con,sub,altro
990,forza,sub,altro
990,nella,sub,altro
990,Chiesa,sub,altro
990,da,sub,altro
1001,rullatura,sub,parola non di base (lessicale)
1001,avente,sub,clausola subordinata/participiale (sintattico)
1001,come,sub,altro
1001,scopo,sub,altro
1001,miglioramento,sub,altro
1001,(,sub,altro
1001,quindi,sub,altro
1001,il,sub,altro
1001,fatica,sub,altro
1001,),sub,altro
1001,quella,sub,altro
1001,ottenuta,sub,clausola subordinata/participiale (sintattico)
1001,per,sub,altro
1001,grazie,del,altro
1001,ad,del,altro
1001,maggior,del,parola non di base (lessicale)
1001,incrudimento,del,parola non di base (lessicale)
1001,del,del,altro
1001,materiale,del,altro
1001,ma,del,altro
1001,anche,del,altro
1001,per,del,altro
1001,modificare,del,altro
1001,forma,del,altro
1001,oggetto,del,altro
1023,una,sub,altro
1023,molto,del,altro
1023,grande,del,altro
1023,un,del,altro
1028,fiore,sub,altro
1028,sembrerebbe,sub,parola non di base (lessicale)
1028,ed,del,altro
1028,è,del,altro
1028,a,del,altro
1028,sinistra,del,altro
1040,Resta,sub,altro
1040,Caix,sub,altro
1052,Si,sub,altro
1052,con,del,altro
1052,rivendicare,sub,clausola subordinata/participiale (sintattico)
1054,saggio,del,altro
1054,Vector,del,altro
1054,Prime,del,altro
1054,il,del,altro
1054,(,del,altro
1054,dando,del,clausola subordinata/participiale (sintattico)
1054,vita,del,altro
1054,a,del,altro
1054,Sonic,del,altro
1054,Convoy,del,altro
1054,),del,altro
1054,(,del,altro
1054,dando,del,clausola subordinata/participiale (sintattico)
1054,vita,del,altro
1054,al,del,altro
1054,"""",del,altro
1054,Savage,del,altro
1054,Claw,del,altro
1054,"""",del,altro
1054,l',del,altro
1054,artiglio,del,altro
1054,selvaggio,del,altro
1054,),del,altro
1079,È,sub,altro
1079,stato,sub,costruzione passiva (sintattico)
1079,costituito,sub,altro
1079,seguito,sub,altro
1079,ridefinendo,sub,clausola subordinata/participiale (sintattico)
1082,problematiche,sub,parola non di base (lessicale)
1082,del,sub,altro
1082,;,del,altro
1082,partecipazione,del,altro
1082,alla,del,altro
1082,Coppa,del,altro
1082,UEFA,del,altro
1082,si,del,altro
1082,concluse,del,altro
1082,con,del,altro
1082,l',del,altro
1082,eliminazione,del,altro
1082,per,del,altro
1082,mano,del,altro
1082,dei,del,altro
1082,connazionali,del,parola non di base (lessicale)
1082,del,del,altro
1082,Barcellona,del,altro
1089,L',del,altro
1089,YMF288,del,altro
1107,La,sub,altro
1107,durata,sub,altro
1107,del,sub,altro
1107,molti,sub,altro
1107,fattori,sub,altro
1107,dei,sub,altro
1107,sono,sub,altro
1107,il,sub,altro
1107,volte,sub,altro
1107,prodotti,sub,altro
1107,utilizzati,sub,clausola subordinata/participiale (sintattico)
1107,per,sub,altro
1107,lavare,sub,clausola subordinata/participiale (sintattico)
1107,parte,sub,altro
1107,tatuata,sub,parola non di base (lessicale)
1107,la,del,altro
1107,il,del,altro
1136,",",del,altro
1136,",",sub,altro
1136,facendo,sub,clausola subordinata/participiale (sintattico)
1136,confluire,sub,clausola subordinata/participiale (sintattico)
1136,Pax,del,altro
1136,",",sub,altro
1136,lo,sub,altro
1136,",",sub,altro
1136,",",sub,altro
1136,Sezione,sub,altro
1136,",",sub,altro
1136,che,sub,altro
1136,si,sub,altro
1136,quanto,sub,altro
1136,concerne,sub,clausola subordinata/participiale (sintattico)
1136,profughi,sub,parola non di base (lessicale)
1136,migranti,sub,parola non di base (lessicale)
1150,.,del,altro
1160,Perciò,del,altro
1160,",",del,altro
1160,molto,del,altro
1160,",",del,altro
1160,tra,sub,altro
1176,Tuttavia,del,altro
1176,veniva,del,costruzione passiva (sintattico)
1176,",",del,altro
1202,(,sub,altro
1202,-,sub,altro
1202,1973,sub,altro
1202,),sub,altro
1207,anime,sub,altro
1207,corso,del,altro
1207,dell',del,altro
1207,(,del,altro
1207,A,del,altro
1207,Night,del,parola non di base (lessicale)
1207,in,del,altro
1207,the,del,altro
1207,Nacrene,del,altro
1207,City,del,altro
1207,Museum,del,altro
1207,),del,altro
1207,.,del,altro
1220,.,del,altro
1248,",",del,altro
1248,loro,del,altro
1248,vestigia,del,parola non di base (lessicale)
1248,rimangono,del,altro
1248,nelle,del,altro
1248,150,del,altro
1248,cisterne,del,parola non di base (lessicale)
1248,costruite,del,clausola subordinata/participiale (sintattico)
1248,per,del,altro
1248,raccogliere,del,clausola subordinata/participiale (sintattico)
1248,acqua,del,altro
1248,piovana,del,parola non di base (lessicale)
1248,;,del,altro
1248,inoltre,del,altro
1248,",",del,altro
1248,fondali,del,parola non di base (lessicale)
1248,del,del,altro
1248,mare,del,altro
1248,circostante,del,parola non di base (lessicale)
1248,sono,del,altro
1248,pieni,del,altro
1248,del,del,altro
1248,contenuto,del,altro
1248,di,del,altro
1248,navi,del,altro
1248,dell',del,altro
1248,epoca,del,altro
1248,",",del,altro
1248,nel,del,altro
1248,corso,del,altro
1248,dei,del,altro
1248,secoli,del,altro
1248,vi,del,altro
1248,fatto,del,clausola subordinata/participiale (sintattico)
1248,naufragio,del,clausola subordinata/participiale (sintattico)
1257,Durante,sub,altro
1257,gravemente,sub,parola non di base (lessicale)
1257,dopoguerra,sub,parola non di base (lessicale)
1257,sua,sub,altro
1265,dona,del,altro
1265,alla,del,altro
1265,raffigurazione,del,parola non di base (lessicale)
1265,di,del,altro
1265,tutti,del,altro
1265,attributi,del,parola non di base (lessicale)
1265,che,del,altro
1265,rendono,del,clausola subordinata/participiale (sintattico)
1270,pianta,sub,altro
1270,calcestruzzo,sub,parola non di base (lessicale)
1272,Ad,del,altro
1272,oggi,del,altro
1272,però,del,altro
1272,",",del,altro
1272,la,del,altro
1272,struttura,del,altro
1272,del,del,altro
1272,Mn,del,altro
1272,non,del,altro
1272,ancora,del,altro
1272,del,del,altro
1272,tutto,del,altro
1272,chiara,del,altro
1272,questo,del,altro
1272,impedisce,del,altro
1272,la,del,altro
1272,completa,del,altro
1272,comprensione,del,altro
1272,del,del,altro
1272,meccanismo,del,altro
1272,sta,del,clausola subordinata/participiale (sintattico)
1272,alla,del,altro
1272,base,del,altro
1272,della,del,altro
1272,reazione,del,altro
1272,3,del,altro
1300,si,del,altro
1300,mise,del,altro
1300,a,del,altro
1300,comandare,del,clausola subordinata/participiale (sintattico)
1300,le,del,altro
1300,forze,del,altro
1300,di,del,altro
1300,Gorgom,del,altro
1300,e,del,altro
1300,a,del,altro
1300,costringere,del,altro
1300,lui,sub,altro
1300,decidere,sub,clausola subordinata/participiale (sintattico)
1300,chi,sub,altro
1300,sarà,sub,clausola subordinata/participiale (sintattico)
1304,esistevano,sub,altro
1304,ferree,sub,parola non di base (lessicale)
1304,relativamente,sub,altro
1304,al,sub,altro
1304,vestiario,sub,parola non di base (lessicale)
1313,una,sub,altro
1313,canzone,sub,altro
1313,ed,del,altro
1313,interpretata,del,altro
1313,dai,del,altro
1313,pubblicata,del,clausola subordinata/participiale (sintattico)
1313,come,del,altro
1313,ed,del,altro
1313,unico,del,altro
1313,singolo,del,altro
1313,estratto,del,clausola subordinata/participiale (sintattico)
1313,dall',del,altro
1313,album,del,altro
1313,del,del,altro
1313,gruppo,del,altro
